Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
Dubreuil (Ferdinand), Engerand (Roland), Pierre de Ronsard, le poète des Amours, gravures originales de Dubreuil, textes de R. Engerand, N°284/300, édition sous la direction de l'artiste, Tours,  Indre-et-Loire - Sarthe - Paris, 1954, 10 planches hors-texte et textes. A 85;A 85;;2020;achat 8 mars 2008;;;;
Dubreuil (Ferdinand), Engerand (Roland), François Rabelais au pays de Thélème, gravures originales de Dubreuil, textes de R. Engerand, N°210/300, Maître-Imprimeur Bourges - St Symphorien - Indre-et-Loire, 1954, 45 planches et textes. A 84;A 84;;2020;achat 8 mars 2008;;;;
Sourioux (Jacques), Pays de Blois d'Averdon à Thenay, 1995, Cour-Cheverny, Sourioux éd., 1995, 139p., A 83;A 83;;2020;don Miranda;;;;
Choulot (comte de), L'art des jardins ou études théoriques et pratiques sur l'arrangement extérieur des habitations, Paris, Dentu, Fontaine éds, 1863, 59p., A 82;A 82;;2019;don Pasquier;;;;
Terrasse (Charles), Les châteaux de la Loire, Paris, Draeger et Verve éds, 1956, 198 p., A 81;A 81;;2019;don Adam;;;;
Bersani (Jacques), Schweizer (Hans), Gall (Jean), Lardy (Michel), Le grand atlas de l'archéologie, Paris, Encyclopedia Universalis, 1985, 423 p. A 80 ;A  80;;2019;don Adam;;;;
Palustre (Léon), Album de l'exposition rétrospective de Tours 1890, Tours, L. Péricat, 1891, I-XII, LX pl., 122 p., A 79;A 79;;2018;don Leveel;Tours;exposition 1890;;
"[Coll.], ""Carte de la végétation de la France, n°31 - ""Angers"", Toulouse, Centre National de la Recherche Scientifique, 1966, 1 pl., A 78-2";A 78 - 2;;2018;don Leveel;Touraine;;;
"[Coll.], ""Carte de la végétation de la France, n°32 Tours"", Toulouse, Centre National de la Recherche Scientifique, 1973, 1 pl., A 78-1";A 78 - 1;;2018;don Leveel;Touraine;;;
"De la Tour (Henri), ""Atlas des monnaies gauloises"", Paris, Ed. Trismégiste, réed. 1982, 12 p., LV pl., NUM, A 77";A 77;;2018;don Leveel;numismatique;;;
